pMIG_plus_1	pMIG_plus_2	pMIG_plus_3	pMIG_plus_4	pMIG_plus_5	pMIG_plus_6	pMIG_BCR_ABL_1	pMIG_BCR_ABL_2	pMIG_BCR_ABL_3	pMIG_BCR_ABL_4	pMIG_BCR_ABL_5	pMIG_BCR_ABL_6
5.112554188	5.236814032	5.609952894	5.425613718	5.673372683	5.007253818	4.985901123	4.810186008	4.912817499	5.154931495	5.058385771	4.995403111
1.587657821	1.407983537	1.753929662	1.279851606	1.113147049	1.28114035	1.076285443	0.917624229	0.740439746	1.119004176	1.056770789	1.285934808
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.124252557	0.245221823	0.300819566	0.108009444	0.209369765	0.238534977	0.26180278	0.255686836	0.477771605	0.185990834	0.329535818	0.145473996
0.047662761	0.077880106	0.020758342	0.121539584	0.160088915	0.023936896	0.042181901	0.076573597	0.030000529	0	0.038977477	0.028422754
0	0	0	0	0	0	0	0	0	0	0	0
0	0.028726709	0.046940527	0.137827438	0	0.0346386	0.030744425	0	0	0	0	0
0	0	0.111542711	0	0	0	0.115574252	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.673570896	1.04889878	1.111265063	0.355805639	0.321913091	0.14827425	0.06749031	0	0.094083346	0.220410446	0.570440586	0.173036582
1.596372262	1.50854021	1.511189695	1.625499619	1.558208847	1.489131853	1.732946423	1.690872964	1.498878878	1.80926214	1.759948353	1.576038337
0.277743187	0.120896001	0.06425833	0	0.166931351	0.455945005	0.066245596	0.080178322	0.179197636	0.404919467	0.119714598	0.248021058
0	0	0.014486986	0.057750529	0.038792106	0	0	0	0	0	0	0
0.859397126	0.847273775	0.70806007	0.682089621	0.958953262	0.660753413	0.631136885	0.5868608	0.660566324	0.48148185	0.496636189	0.497780958
0	0.273487244	0	0	0.196030354	0.469163927	0	0	0.211658924	0	0.142204289	0
0.457451407	0.500601183	0.448676867	0.619915343	0.402288867	0.558538022	0.456775666	0.408536879	0.385281928	0.334905742	0.49866855	0.458754705
0	0.019880079	0	0.041683715	0	0.047512285	0	0	0	0	0	0
0.062769812	0	0.047098743	0.054801116	0.063134697	0	0.082620439	0.067747603	0.039560821	0.03256088	0.04468158	0.117362054
0.108207815	0.089433472	0.092988393	0.180364313	0.237524561	0.303397342	0	0.222941777	0.13318906	0	0.172185376	0.349182947
0	0	0	0	0	0	0	0	0	0	0	0
0.033194196	0	0	0.112411098	0	0	0	0	0	0	0	0
0.081229717	0.034096237	0.035619969	0.13895991	0.071238894	0	0	0	0	0	0	0
0	0	0	0.481746356	0	0	0	0	0	0	0	0
